City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,82.4,few clouds,-22.9661,-42.0278,Pousada Porto Praia
9,Tonneins,FR,75.2,clear sky,44.3921,0.3124,Hôtel Des Fleurs SARL FLOWERS
10,Rikitea,PF,76.71,overcast clouds,-23.1203,-134.9692,Pension Maro'i
11,Impfondo,CG,83.14,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
13,Kieta,PG,79.9,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
16,Rundu,,79.38,broken clouds,-17.9333,19.7667,Millennia Estate
24,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
26,Carnarvon,AU,80.6,few clouds,-24.8667,113.6333,Hospitality Carnarvon
30,Trairi,BR,87.24,scattered clouds,-3.2778,-39.2689,janelas do mar
33,Bonthe,SL,85.82,broken clouds,7.5264,-12.505,Bonthe Holiday Village
34,Kampot,KH,84.2,few clouds,10.6167,104.1833,Two Moons Hotel
35,Butaritari,KI,81.45,light rain,3.0707,172.7902,Isles Sunset Lodge
39,Saint-Pierre,RE,77.0,light rain,-21.3393,55.4781,Lindsey Hôtel
40,Eyl,SO,80.65,clear sky,7.9803,49.8164,Amiin Hotel
42,Karachi,PK,86.0,clear sky,24.9056,67.0822,Sadaat
44,Alta Gracia,AR,75.0,clear sky,-31.6529,-64.4283,Hotel Ritz
45,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
48,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
52,Isangel,VU,78.69,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
58,Noumea,NC,78.01,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
59,Avarua,CK,78.8,few clouds,-21.2078,-159.775,Paradise Inn
61,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
62,Praia,CV,87.8,clear sky,14.9215,-23.5087,LT Aparthotel
63,San Policarpo,PH,81.41,scattered clouds,12.1791,125.5072,JM Lodge
64,Samarai,PG,80.15,overcast clouds,-10.6167,150.6667,Nuli Sapi
65,Dingle,PH,75.83,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
68,Bacolod,PH,78.37,overcast clouds,10.6667,122.95,Planta Hotel & Residences
69,Georgetown,MY,84.2,scattered clouds,5.4112,100.3354,Cititel Penang
77,Kavaratti,IN,83.71,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
80,Cabo San Lucas,MX,78.8,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
82,Annau,TM,75.2,broken clouds,37.8876,58.516000000000005,Buzmein Sokak
84,Tiarei,PF,77.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
85,Benguela,AO,83.7,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
91,Namatanai,PG,80.89,overcast clouds,-3.6667,152.4333,Namatanai Hotel
93,Cabatuan,PH,76.5,overcast clouds,10.8794,122.486,ROREM'S BOARDING HOUSE
95,Iturama,BR,89.96,scattered clouds,-19.7281,-50.1956,República DominaCana
97,Tanout,NE,89.42,few clouds,14.9709,8.8879,
101,Victoria,HK,79.0,clear sky,22.2855,114.1577,Mini Hotel Central
102,Bambous Virieux,MU,80.01,light rain,-20.3428,57.7575,Casa Tia Villa
103,Sinnamary,GF,78.4,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
109,Atuona,PF,80.8,broken clouds,-9.8,-139.0333,Villa Enata
117,Pedernales,DO,83.7,clear sky,18.0384,-71.744,Hotel Costa Marina
127,Salalah,OM,84.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
130,Saint-Joseph,RE,77.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
131,Salinopolis,BR,81.55,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
133,Hithadhoo,MV,83.88,scattered clouds,-0.6,73.0833,Scoop Guest House
135,Nabire,ID,76.15,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
