City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,65,20,18.41,few clouds
1,Kodiak,US,57.79,-152.4072,30.2,34,1,4.61,clear sky
2,Port Alfred,ZA,-33.5906,26.891,63.14,82,100,17.94,overcast clouds
3,Nishihara,JP,26.1842,127.7558,71.6,94,20,4.61,few clouds
4,Severo-Kurilsk,RU,50.6789,156.125,27.73,82,60,17.11,broken clouds
5,Riyadh,SA,24.6877,46.7219,96.8,7,0,9.22,clear sky
6,Oblivskaya,RU,48.5362,42.5014,50.23,60,33,7.14,scattered clouds
7,Avera,US,33.194,-82.5271,48.0,36,1,13.8,clear sky
8,Abengourou,CI,6.7297,-3.4964,95.25,32,96,2.15,overcast clouds
9,Tonneins,FR,44.3921,0.3124,75.2,35,0,3.44,clear sky
10,Rikitea,PF,-23.1203,-134.9692,76.71,79,89,12.84,overcast clouds
11,Impfondo,CG,1.6381,18.0667,83.14,65,87,0.96,overcast clouds
12,Mehamn,NO,71.0357,27.8492,31.01,88,99,0.38,overcast clouds
13,Kieta,PG,-6.2167,155.6333,79.9,81,100,0.72,overcast clouds
14,Saint George,US,37.1041,-113.5841,53.6,28,1,5.75,clear sky
15,Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,56,20,8.05,few clouds
16,Rundu,NA,-17.9333,19.7667,79.38,43,83,4.29,broken clouds
17,Clyde River,CA,70.4692,-68.5914,-9.4,77,75,31.07,snow
18,New Norfolk,AU,-42.7826,147.0587,62.6,67,21,17.27,few clouds
19,Kaitangata,NZ,-46.2817,169.8464,41.9,91,49,5.86,scattered clouds
20,Norman Wells,CA,65.282,-126.8329,-4.0,77,75,6.91,broken clouds
21,Jacobina,BR,-11.1806,-40.5183,92.61,34,49,7.87,scattered clouds
22,Galbshtadt,RU,53.2264,78.9845,31.41,82,100,14.63,overcast clouds
23,Ponta Do Sol,PT,32.6667,-17.1,64.99,63,53,5.01,broken clouds
24,Vaini,TO,-21.2,-175.2,75.2,94,40,2.3,light rain
25,Tiksi,RU,71.6872,128.8694,-15.3,100,100,7.2,overcast clouds
26,Carnarvon,AU,-24.8667,113.6333,80.6,78,15,12.66,few clouds
27,Rio Gallegos,AR,-51.6226,-69.2181,51.8,71,0,10.36,clear sky
